日期,天气状况,最高温_摄氏度,最低温_摄氏度,风力风向
2024-01-01,晴/多云,14.0,4.0,北风1-3级/北风1-3级
2024-01-02,小雨/阴,9.0,3.0,西北风1-3级/北风1-3级
2024-01-03,晴/晴,12.0,1.0,北风1-3级/南风1-3级
2024-01-04,晴/多云,14.0,1.0,东北风1-3级/南风1-3级
2024-01-05,多云/小雨,17.0,6.0,北风1-3级/北风1-3级
2024-01-06,多云/多云,17.0,5.0,北风1-3级/北风1-3级
2024-01-07,多云/小雨,16.0,7.0,北风1-3级/北风1-3级
2024-01-08,阴/小雨,11.0,7.0,北风1-3级/北风1-3级
2024-01-09,阴/多云,11.0,6.0,西北风1-3级/北风1-3级
2024-01-10,晴/晴,14.0,1.0,北风1-3级/北风1-3级
2024-01-11,晴/晴,16.0,2.0,东北风1-3级/南风1-3级
2024-01-12,晴/晴,19.0,4.0,东北风1-3级/南风1-3级
2024-01-13,晴/多云,22.0,5.0,东风1-3级/南风1-3级
2024-01-14,多云/多云,19.0,8.0,东北风1-3级/北风1-3级
2024-01-15,多云/多云,16.0,6.0,东北风1-3级/北风1-3级
2024-01-16,晴/晴,16.0,6.0,北风1-3级/北风1-3级
2024-01-17,晴/多云,22.0,5.0,东风1-3级/东风1-3级
2024-01-18,小雨/小雨,12.0,8.0,北风1-3级/北风1-3级
2024-01-19,小雨/中雨,9.0,5.0,北风1-3级/北风1-3级
2024-01-20,小雨/阴,6.0,3.0,北风1-3级/东风1-3级
2024-01-21,阴/中雪,6.0,0.0,北风1-3级/北风1-3级
2024-01-22,大雪/多云,0.0,-6.0,北风1-3级/北风1-3级
2024-01-23,多云/晴,1.0,-7.0,北风1-3级/北风1-3级
2024-01-24,晴/阴,4.0,-5.0,北风1-3级/北风1-3级
2024-01-25,多云/多云,6.0,-1.0,北风1-3级/北风1-3级
2024-01-26,多云/阴,9.0,1.0,北风1-3级/西风1-3级
2024-01-27,多云/多云,11.0,0.0,东北风1-3级/东北风1-3级
2024-01-28,阴/小雨,12.0,1.0,西北风1-3级/东北风1-3级
2024-01-29,小雨/小雨,9.0,4.0,东风1-3级/东风1-3级
2024-01-30,小雨/小雨,13.0,7.0,东北风1-3级/东北风1-3级
2024-01-31,多云/小雨,19.0,10.0,西风1-3级/北风1-3级
2024-02-01,小雨/小雨,13.0,5.0,北风1-3级/北风1-3级
2024-02-02,小雨/小雨,6.0,3.0,北风1-3级/北风1-3级
2024-02-03,小雨/小雨,5.0,3.0,北风1-3级/北风1-3级
2024-02-04,中雨/阴,4.0,1.0,西北风1-3级/东北风1-3级
2024-02-05,阴/小雨,5.0,1.0,北风1-3级/东北风1-3级
2024-02-06,小雨/小雨,3.0,1.0,北风1-3级/北风1-3级
2024-02-07,小雨/小雨,3.0,0.0,北风1-3级/北风1-3级
2024-02-08,小雨/阴,6.0,1.0,北风1-3级/北风1-3级
2024-02-09,晴/晴,12.0,0.0,东北风1-3级/西南风1-3级
2024-02-10,晴/晴,16.0,2.0,东风1-3级/东南风1-3级
2024-02-11,晴/晴,18.0,1.0,东北风1-3级/南风1-3级
2024-02-12,晴/晴,21.0,4.0,南风1-3级/南风1-3级
2024-02-13,阵雨/多云,19.0,10.0,南风1-3级/西南风1-3级
2024-02-14,多云/小雨,25.0,12.0,东北风1-3级/南风1-3级
2024-02-15,小雨/小雨,17.0,6.0,北风1-3级/北风1-3级
2024-02-16,阴/多云,11.0,6.0,东北风1-3级/南风1-3级
2024-02-17,多云/多云,21.0,9.0,东北风1-3级/东风1-3级
2024-02-18,多云/晴,28.0,18.0,东风1-3级/东南风1-3级
2024-02-19,多云/阵雨,29.0,16.0,南风1-3级/北风1-3级
2024-02-20,多云/多云,21.0,10.0,东北风1-3级/北风1-3级
2024-02-21,中雨/中雨,9.0,2.0,北风1-3级/北风1-3级
2024-02-22,小雨/小雨,3.0,1.0,北风1-3级/北风1-3级
2024-02-23,小雨/小雨,2.0,-1.0,东北风1-3级/东北风1-3级
2024-02-24,小雨/小雨,2.0,0.0,东北风1-3级/东北风1-3级
2024-02-25,阴/小雨,4.0,1.0,北风1-3级/北风1-3级
2024-02-26,小雨/小雨,4.0,2.0,北风1-3级/北风1-3级
2024-02-27,阴/小雨,7.0,2.0,北风1-3级/北风1-3级
2024-02-28,小雨/中雨,7.0,4.0,北风1-3级/北风1-3级
2024-02-29,小雨/阴,6.0,3.0,西北风1-3级/西北风1-3级
2024-03-01,小雨/多云,7.0,2.0,东北风1-3级/北风1-3级
2024-03-02,多云/多云,11.0,1.0,北风1-3级/西南风1-3级
2024-03-03,晴/小雨,16.0,2.0,东北风1-3级/东南风1-3级
2024-03-04,小雨/小雨,14.0,10.0,南风1-3级/南风1-3级
2024-03-05,小雨/阴,13.0,8.0,东南风1-3级/东风1-3级
2024-03-06,小雨/阴,13.0,8.0,东南风1-3级/东风1-3级
2024-03-07,多云/晴,15.0,6.0,北风1-3级/北风1-3级
2024-03-08,晴/多云,17.0,5.0,北风1-3级/北风1-3级
2024-03-09,小雨/多云,13.0,8.0,东北风1-3级/北风1-3级
2024-03-10,多云/小雨,20.0,8.0,北风1-3级/东北风1-3级
2024-03-11,小雨/晴,16.0,7.0,西北风1-3级/东北风1-3级
2024-03-12,晴/晴,23.0,9.0,东北风1-3级/北风1-3级
2024-03-13,多云/小雨,19.0,12.0,东南风1-3级/南风1-3级
2024-03-14,小雨/小雨,15.0,12.0,东风1-3级/东南风1-3级
2024-03-15,小雨/中雨,16.0,11.0,东北风1-3级/东风1-3级
2024-03-16,小雨/小雨,18.0,13.0,东风1-3级/东风1-3级
2024-03-17,小雨/小雨,19.0,12.0,东南风1-3级/东北风1-3级
2024-03-18,小雨/多云,15.0,7.0,北风1-3级/西北风1-3级
2024-03-19,晴/晴,18.0,6.0,北风1-3级/东北风1-3级
2024-03-20,晴/晴,21.0,7.0,北风1-3级/北风1-3级
2024-03-21,多云/多云,17.0,9.0,东南风1-3级/南风1-3级
2024-03-22,多云/多云,26.0,18.0,东风1-3级/东南风1-3级
2024-03-23,雷阵雨/多云,27.0,21.0,东北风1-3级/东南风1-3级
2024-03-24,多云/多云,31.0,21.0,西南风1-3级/南风1-3级
2024-03-25,中雨/多云,31.0,12.0,西南风3-4级/北风1-3级
2024-03-26,多云/多云,19.0,11.0,北风1-3级/西北风1-3级
2024-03-27,多云/大雨,27.0,13.0,北风1-3级/东风1-3级
2024-03-28,阴/晴,21.0,12.0,东风1-3级/北风1-3级
2024-03-29,晴/多云,28.0,15.0,西风1-3级/西南风1-3级
2024-03-30,多云/大雨,28.0,18.0,南风1-3级/西南风1-3级
2024-03-31,多云/多云,28.0,16.0,西风1-3级/东风1-3级
2024-04-01,雷阵雨/雷阵雨,27.0,19.0,东南风1-3级/南风1-3级
2024-04-02,雷阵雨/雷阵雨,32.0,20.0,南风1-3级/西南风1-3级
2024-04-03,小雨/中雨,24.0,16.0,南风1-3级/南风1-3级
2024-04-04,小雨/小雨,17.0,13.0,东南风1-3级/东北风1-3级
2024-04-05,小雨/小雨,16.0,13.0,北风1-3级/北风1-3级
2024-04-06,小雨/小雨,16.0,13.0,北风1-3级/北风1-3级
2024-04-07,小雨/小雨,16.0,13.0,北风1-3级/东风1-3级
2024-04-08,阴/多云,17.0,13.0,北风1-3级/东北风1-3级
2024-04-09,多云/多云,22.0,15.0,北风1-3级/北风1-3级
2024-04-10,多云/阵雨,25.0,18.0,西北风1-3级/北风1-3级
2024-04-11,阵雨/小雨,25.0,19.0,东北风1-3级/东风1-3级
2024-04-12,雷阵雨/多云,24.0,18.0,东北风1-3级/东风1-3级
2024-04-13,中雨/中雨,25.0,19.0,东风1-3级/南风1-3级
2024-04-14,雷阵雨/多云,26.0,19.0,西南风1-3级/南风1-3级
2024-04-15,晴/雷阵雨,31.0,20.0,南风1-3级/南风1-3级
2024-04-16,暴雨/大雨,26.0,20.0,西南风1-3级/东南风1-3级
2024-04-17,阴/多云,26.0,18.0,西北风1-3级/北风1-3级
2024-04-18,多云/雷阵雨,25.0,18.0,东北风1-3级/东南风1-3级
2024-04-19,中雨/大雨,27.0,20.0,东风1-3级/北风1-3级
2024-04-20,中雨/大雨,23.0,19.0,北风1-3级/北风1-3级
2024-04-21,小雨/小雨,22.0,19.0,北风1-3级/北风1-3级
2024-04-22,阴/阵雨,25.0,18.0,北风1-3级/北风1-3级
2024-04-23,多云/多云,26.0,17.0,北风1-3级/北风1-3级
2024-04-24,多云/多云,28.0,17.0,东北风1-3级/东南风1-3级
2024-04-25,中雨/小雨,23.0,19.0,东南风1-3级/西南风1-3级
2024-04-26,多云/多云,26.0,19.0,东风1-3级/东南风1-3级
2024-04-27,多云/雷阵雨,29.0,21.0,东风1-3级/东风1-3级
2024-04-28,雷阵雨/多云,27.0,21.0,南风1-3级/东风1-3级
2024-04-29,雷阵雨/大雨,28.0,21.0,东风1-3级/东南风1-3级
2024-04-30,小雨/小雨,23.0,16.0,西北风1-3级/北风1-3级
2024-05-01,阴/阴,19.0,14.0,北风1-3级/北风1-3级
2024-05-02,阵雨/阴,20.0,17.0,北风1-3级/东风1-3级
2024-05-03,阴/中雨,23.0,20.0,西北风1-3级/东南风1-3级
2024-05-04,大雨/中雨,24.0,19.0,西南风1-3级/西风1-3级
2024-05-05,阵雨/雾,22.0,17.0,西北风1-3级/南风1-3级
2024-05-06,晴/晴,28.0,17.0,东北风1-3级/东北风1-3级
2024-05-07,晴/晴,29.0,19.0,南风1-3级/东风1-3级
2024-05-08,晴/晴,31.0,18.0,东北风1-3级/东南风1-3级
2024-05-09,晴/多云,28.0,20.0,东风1-3级/南风1-3级
2024-05-10,多云/雷阵雨,28.0,21.0,西南风1-3级/南风1-3级
2024-05-11,中雨/中雨,29.0,21.0,东南风1-3级/北风1-3级
2024-05-12,多云/晴,27.0,17.0,北风1-3级/东北风1-3级
2024-05-13,晴/晴,26.0,14.0,东北风1-3级/东风1-3级
2024-05-14,晴/晴,29.0,17.0,西北风1-3级/西北风1-3级
2024-05-15,晴/晴,29.0,17.0,西北风1-3级/东北风1-3级
2024-05-16,晴/晴,30.0,19.0,东北风1-3级/南风1-3级
2024-05-17,晴/晴,32.0,20.0,东风1-3级/南风1-3级
2024-05-18,晴/晴,34.0,22.0,东北风1-3级/南风1-3级
2024-05-19,多云/多云,32.0,22.0,东北风1-3级/西南风1-3级
2024-05-20,多云/多云,27.0,20.0,东北风1-3级/东北风1-3级
2024-05-21,小雨/阵雨,24.0,21.0,东北风1-3级/东北风1-3级
2024-05-22,阵雨/阴,26.0,21.0,东北风1-3级/西南风1-3级
2024-05-23,多云/多云,30.0,22.0,南风1-3级/东南风1-3级
2024-05-24,多云/多云,33.0,23.0,东风1-3级/东南风1-3级
2024-05-25,多云/多云,33.0,24.0,东风1-3级/南风1-3级
2024-05-26,多云/雷阵雨,34.0,25.0,南风1-3级/南风1-3级
2024-05-27,大雨/阴,26.0,20.0,南风1-3级/北风1-3级
2024-05-28,阵雨/多云,27.0,19.0,东北风1-3级/东北风1-3级
2024-05-29,晴/多云,31.0,21.0,东北风1-3级/东南风1-3级
2024-05-30,多云/阵雨,33.0,22.0,北风1-3级/北风1-3级
2024-05-31,阵雨/小雨,23.0,21.0,北风1-3级/北风1-3级
2024-06-01,大雨/中雨,23.0,19.0,东北风1-3级/北风1-3级
2024-06-02,阵雨/阵雨,21.0,18.0,东北风1-3级/北风1-3级
2024-06-03,阴/阴,22.0,18.0,东北风1-3级/东南风1-3级
2024-06-04,小雨/小雨,22.0,18.0,东南风1-3级/东风1-3级
2024-06-05,小雨/阴,23.0,18.0,西南风1-3级/西南风1-3级
2024-06-06,阴/阴,26.0,20.0,东北风1-3级/北风1-3级
2024-06-07,多云/多云,29.0,22.0,北风1-3级/东北风1-3级
2024-06-08,多云/小雨,30.0,23.0,北风1-3级/东风1-3级
2024-06-09,阵雨/中雨,29.0,23.0,东风1-3级/北风1-3级
2024-06-10,大雨/大雨,25.0,22.0,东南风1-3级/西南风1-3级
2024-06-11,中雨/中雨,28.0,24.0,西南风1-3级/西南风1-3级
2024-06-12,暴雨/小雨,30.0,24.0,西风1-3级/东南风1-3级
2024-06-13,中雨/中雨,30.0,24.0,东南风1-3级/南风1-3级
2024-06-14,暴雨/大雨,29.0,24.0,西南风1-3级/南风1-3级
2024-06-15,中雨/中雨,30.0,24.0,西风1-3级/西南风1-3级
2024-06-16,中雨/中雨,30.0,24.0,西南风1-3级/西南风1-3级
2024-06-17,中雨/暴雨,25.0,22.0,北风1-3级/东北风1-3级
2024-06-18,中雨/阵雨,28.0,22.0,西风1-3级/南风1-3级
2024-06-19,雷阵雨/多云,31.0,26.0,南风1-3级/南风1-3级
2024-06-20,多云/多云,32.0,27.0,南风1-3级/东南风1-3级
2024-06-21,晴/晴,35.0,28.0,西南风1-3级/南风1-3级
2024-06-22,晴/晴,35.0,28.0,西南风1-3级/西南风1-3级
2024-06-23,多云/雷阵雨,34.0,26.0,西南风1-3级/南风1-3级
2024-06-24,中雨/阵雨,32.0,24.0,南风1-3级/东北风1-3级
2024-06-25,大雨/大雨,24.0,21.0,东南风1-3级/南风1-3级
2024-06-26,中雨/阵雨,26.0,22.0,西风1-3级/西北风1-3级
2024-06-27,中雨/小雨,29.0,22.0,西南风1-3级/南风1-3级
2024-06-28,多云/多云,33.0,25.0,南风1-3级/南风1-3级
2024-06-29,晴/多云,35.0,28.0,南风1-3级/南风1-3级
2024-06-30,雷阵雨/阵雨,32.0,27.0,南风1-3级/南风1-3级
2024-07-01,雷阵雨/多云,33.0,26.0,南风1-3级/南风1-3级
2024-07-02,雷阵雨/多云,34.0,26.0,西南风1-3级/西南风1-3级
2024-07-03,晴/晴,35.0,26.0,南风1-3级/南风1-3级
2024-07-04,晴/晴,36.0,27.0,南风1-3级/南风1-3级
2024-07-05,晴/晴,37.0,28.0,南风1-3级/南风1-3级
2024-07-06,晴/晴,37.0,28.0,西南风1-3级/西南风1-3级
2024-07-07,晴/晴,37.0,28.0,西南风1-3级/西南风1-3级
2024-07-08,晴/晴,37.0,29.0,西南风1-3级/西南风1-3级
2024-07-09,晴/晴,37.0,29.0,南风1-3级/东南风1-3级
2024-07-10,晴/晴,36.0,29.0,西南风1-3级/南风1-3级
2024-07-11,晴/晴,37.0,28.0,西南风1-3级/东北风1-3级
2024-07-12,晴/晴,36.0,28.0,西南风1-3级/南风1-3级
2024-07-13,晴/晴,37.0,29.0,西南风1-3级/南风1-3级
2024-07-14,晴/晴,37.0,29.0,西南风1-3级/南风1-3级
2024-07-15,晴/晴,37.0,29.0,西南风1-3级/西南风1-3级
2024-07-16,晴/晴,37.0,29.0,西南风1-3级/南风1-3级
2024-07-17,晴/晴,38.0,29.0,南风1-3级/南风1-3级
2024-07-18,晴/晴,38.0,29.0,西南风1-3级/南风1-3级
2024-07-19,晴/晴,38.0,29.0,西南风1-3级/南风1-3级
2024-07-20,晴/晴,37.0,30.0,西南风1-3级/西南风1-3级
2024-07-21,晴/晴,39.0,29.0,南风1-3级/东南风1-3级
2024-07-22,晴/晴,39.0,29.0,西南风1-3级/西南风1-3级
2024-07-23,晴/晴,39.0,29.0,西南风1-3级/东风1-3级
2024-07-24,晴/晴,40.0,29.0,北风1-3级/北风1-3级
2024-07-25,雷阵雨/雷阵雨,37.0,27.0,西北风1-3级/西南风1-3级
2024-07-26,中雨/大雨,31.0,26.0,北风1-3级/南风1-3级
2024-07-27,中雨/阵雨,28.0,26.0,西南风1-3级/西南风1-3级
2024-07-28,多云/晴,34.0,27.0,西南风1-3级/南风1-3级
2024-07-29,晴/晴,36.0,26.0,西南风1-3级/西南风1-3级
2024-07-30,晴/晴,36.0,27.0,西南风1-3级/南风1-3级
2024-07-31,晴/晴,36.0,28.0,南风1-3级/西南风1-3级
2024-08-01,晴/晴,36.0,28.0,南风1-3级/西南风1-3级
2024-08-02,晴/晴,36.0,28.0,西南风1-3级/南风1-3级
2024-08-03,晴/晴,37.0,28.0,南风1-3级/西风1-3级
2024-08-04,晴/晴,39.0,29.0,西北风1-3级/西南风1-3级
2024-08-05,晴/晴,38.0,29.0,西北风1-3级/西南风1-3级
2024-08-06,晴/晴,39.0,29.0,西风1-3级/南风1-3级
2024-08-07,晴/晴,39.0,29.0,西风1-3级/西南风1-3级
2024-08-08,晴/晴,39.0,29.0,西风1-3级/南风1-3级
2024-08-09,晴/晴,39.0,29.0,西南风1-3级/南风1-3级
2024-08-10,晴/晴,39.0,29.0,东风1-3级/东南风1-3级
2024-08-11,雷阵雨/多云,37.0,27.0,东南风1-3级/西风1-3级
2024-08-12,雷阵雨/多云,36.0,26.0,西南风1-3级/西南风1-3级
2024-08-13,雷阵雨/阵雨,35.0,25.0,东风1-3级/西风1-3级
2024-08-14,雷阵雨/阵雨,33.0,25.0,北风1-3级/北风1-3级
2024-08-15,雷阵雨/多云,34.0,25.0,东北风1-3级/西北风1-3级
2024-08-16,雷阵雨/阵雨,34.0,26.0,西北风1-3级/西南风1-3级
2024-08-17,雷阵雨/多云,34.0,26.0,西风1-3级/西风1-3级
2024-08-18,雷阵雨/阵雨,31.0,25.0,西南风1-3级/西风1-3级
2024-08-19,雷阵雨/阵雨,33.0,26.0,北风1-3级/西南风1-3级
2024-08-20,雷阵雨/雷阵雨,33.0,26.0,西北风1-3级/西北风1-3级
2024-08-21,晴/晴,33.0,26.0,东南风1-3级/西南风1-3级
2024-08-22,晴/晴,34.0,26.0,西南风1-3级/西南风1-3级
2024-08-23,晴/晴,35.0,26.0,南风1-3级/南风1-3级
2024-08-24,晴/晴,36.0,27.0,西北风1-3级/西南风1-3级
2024-08-25,晴/晴,37.0,27.0,西北风1-3级/南风1-3级
2024-08-26,晴/晴,36.0,27.0,西南风1-3级/西南风1-3级
2024-08-27,雷阵雨/多云,36.0,26.0,西北风1-3级/西北风1-3级
2024-08-28,雷阵雨/多云,32.0,25.0,北风1-3级/东北风1-3级
2024-08-29,多云/多云,33.0,26.0,东北风1-3级/东北风1-3级
2024-08-30,晴/晴,36.0,27.0,东南风1-3级/东南风1-3级
2024-08-31,晴/晴,37.0,28.0,南风1-3级/东南风1-3级
2024-09-01,晴/晴,38.0,28.0,东风1-3级/东风1-3级
2024-09-02,晴/晴,38.0,27.0,东北风1-3级/西风1-3级
2024-09-03,雷阵雨/晴,37.0,28.0,北风1-3级/东北风1-3级
2024-09-04,晴/晴,38.0,28.0,北风1-3级/西北风1-3级
2024-09-05,晴/晴,38.0,28.0,东北风1-3级/东北风1-3级
2024-09-06,晴/晴,38.0,28.0,东风1-3级/北风1-3级
2024-09-07,晴/晴,37.0,27.0,北风1-3级/南风1-3级
2024-09-08,晴/晴,37.0,28.0,北风1-3级/东风1-3级
2024-09-09,晴/晴,37.0,28.0,东北风1-3级/东南风1-3级
2024-09-10,晴/晴,37.0,28.0,东北风1-3级/东北风1-3级
2024-09-11,晴/晴,36.0,26.0,东北风3-4级/东北风1-3级
2024-09-12,多云/晴,34.0,26.0,北风1-3级/东北风1-3级
2024-09-13,多云/多云,34.0,26.0,东北风1-3级/东风1-3级
2024-09-14,多云/晴,34.0,26.0,东北风1-3级/东风3-4级
2024-09-15,阵雨/多云,33.0,26.0,东北风3-4级/东北风1-3级
2024-09-16,多云/多云,34.0,26.0,西北风3-4级/北风1-3级
2024-09-17,多云/晴,34.0,26.0,东北风3-4级/东北风1-3级
2024-09-18,晴/晴,36.0,27.0,东北风3-4级/东北风1-3级
2024-09-19,多云/多云,35.0,27.0,东北风1-3级/东北风1-3级
2024-09-20,阴/阵雨,29.0,26.0,东北风1-3级/东北风1-3级
2024-09-21,阵雨/阴,31.0,22.0,东北风1-3级/北风3-4级
2024-09-22,多云/小雨,25.0,20.0,北风1-3级/北风1-3级
2024-09-23,阴/小雨,23.0,20.0,东北风1-3级/东北风1-3级
2024-09-24,阴/阴,26.0,20.0,东北风1-3级/东北风1-3级
2024-09-25,多云/阴,29.0,23.0,东北风1-3级/东风1-3级
2024-09-26,阴/阴,29.0,23.0,东风3-4级/东风1-3级
2024-09-27,多云/多云,30.0,22.0,北风1-3级/东北风1-3级
2024-09-28,晴/晴,33.0,23.0,东风1-3级/东风1-3级
2024-09-29,晴/晴,34.0,24.0,东北风1-3级/东北风1-3级
2024-09-30,晴/阴,34.0,21.0,东北风1-3级/东北风3-4级
2024-10-01,阴/多云,25.0,18.0,东北风4-5级/北风4-5级
2024-10-02,晴/晴,26.0,14.0,东北风3-4级/东北风4-5级
2024-10-03,晴/晴,25.0,16.0,东北风1-3级/北风1-3级
2024-10-04,晴/多云,26.0,17.0,东北风1-3级/东北风1-3级
2024-10-05,多云/多云,27.0,20.0,东北风1-3级/东北风1-3级
2024-10-06,多云/多云,26.0,20.0,东北风1-3级/北风1-3级
2024-10-07,多云/多云,27.0,19.0,北风1-3级/北风1-3级
2024-10-08,阴/阴,19.0,16.0,东北风1-3级/东风1-3级
2024-10-09,多云/晴,24.0,14.0,东北风1-3级/东风1-3级
2024-10-10,晴/晴,27.0,15.0,东北风1-3级/东北风1-3级
2024-10-11,晴/晴,29.0,17.0,北风1-3级/东北风1-3级
2024-10-12,多云/多云,30.0,18.0,西北风1-3级/北风1-3级
2024-10-13,晴/晴,31.0,20.0,东风1-3级/东北风1-3级
2024-10-14,晴/小雨,32.0,21.0,东风1-3级/东北风1-3级
2024-10-15,小雨/小雨,27.0,21.0,东风1-3级/东北风1-3级
2024-10-16,小雨/阴,26.0,20.0,东风1-3级/东北风1-3级
2024-10-17,多云/多云,30.0,22.0,东风1-3级/南风1-3级
2024-10-18,小雨/小雨,30.0,20.0,东风1-3级/东北风1-3级
2024-10-19,阵雨/阴,22.0,17.0,东北风1-3级/东北风1-3级
2024-10-20,小雨/多云,19.0,14.0,东北风1-3级/东北风1-3级
2024-10-21,多云/多云,24.0,17.0,东北风1-3级/东北风1-3级
2024-10-22,阴/多云,22.0,15.0,东北风1-3级/东北风3-4级
2024-10-23,晴/晴,22.0,10.0,北风1-3级/北风1-3级
2024-10-24,晴/晴,23.0,13.0,东北风1-3级/东北风1-3级
2024-10-25,多云/阴,24.0,15.0,东北风1-3级/东北风1-3级
2024-10-26,阴/阴,22.0,18.0,东北风1-3级/东北风1-3级
2024-10-27,小雨/小雨,20.0,15.0,东北风3-4级/东北风3-4级
2024-10-28,阵雨/阴,19.0,14.0,东北风1-3级/东北风1-3级
2024-10-29,晴/晴,23.0,14.0,北风1-3级/北风1-3级
2024-10-30,多云/多云,22.0,15.0,东北风1-3级/东北风1-3级
2024-10-31,阴/小雨,22.0,15.0,东北风1-3级/东北风3-4级
2024-11-01,小雨/阴,19.0,15.0,东北风3-4级/东北风1-3级
2024-11-02,多云/晴,23.0,13.0,东北风1-3级/东北风1-3级
2024-11-03,晴/多云,26.0,14.0,北风1-3级/北风1-3级
2024-11-04,小雨/多云,20.0,16.0,东风1-3级/东风1-3级
2024-11-05,多云/晴,23.0,12.0,北风1-3级/东北风1-3级
2024-11-06,晴/阴,22.0,9.0,东北风1-3级/东北风1-3级
2024-11-07,多云/晴,20.0,9.0,北风1-3级/北风1-3级
2024-11-08,晴/晴,23.0,12.0,北风1-3级/北风1-3级
2024-11-09,多云/小雨,24.0,13.0,北风1-3级/西北风1-3级
2024-11-10,小雨/多云,20.0,16.0,东北风1-3级/东风1-3级
2024-11-11,晴/晴,25.0,15.0,东北风1-3级/北风1-3级
2024-11-12,晴/晴,25.0,15.0,东北风1-3级/东风1-3级
2024-11-13,晴/阵雨,27.0,17.0,东北风1-3级/东北风1-3级
2024-11-14,阵雨/中雨,28.0,20.0,东风1-3级/东北风1-3级
2024-11-15,中雨/阴,22.0,19.0,东北风1-3级/东风1-3级
2024-11-16,阴/阴,24.0,18.0,东北风1-3级/东北风1-3级
2024-11-17,阴/阴,19.0,14.0,东北风1-3级/东北风1-3级
2024-11-18,阴/阴,17.0,10.0,东北风1-3级/东北风1-3级
2024-11-19,多云/多云,18.0,10.0,北风1-3级/东北风1-3级
2024-11-20,多云/多云,17.0,11.0,东北风1-3级/东北风1-3级
2024-11-21,阴/阴,16.0,12.0,东北风1-3级/东北风1-3级
2024-11-22,多云/多云,19.0,10.0,东北风1-3级/北风1-3级
2024-11-23,多云/多云,20.0,12.0,北风1-3级/北风1-3级
2024-11-24,阵雨/阵雨,17.0,12.0,东北风1-3级/北风1-3级
2024-11-25,小雨/小雨,16.0,7.0,东北风1-3级/北风1-3级
2024-11-26,晴/晴,14.0,6.0,东北风1-3级/北风1-3级
2024-11-27,晴/晴,15.0,4.0,东北风1-3级/东风1-3级
2024-11-28,晴/晴,17.0,4.0,东北风1-3级/东北风1-3级
2024-11-29,晴/晴,17.0,4.0,东风1-3级/东风1-3级
2024-11-30,晴/晴,19.0,5.0,东风1-3级/东风1-3级
2024-12-01,晴/晴,22.0,6.0,东风1-3级/东风1-3级
2024-12-02,多云/多云,24.0,10.0,东北风1-3级/东北风1-3级
2024-12-03,多云/多云,20.0,11.0,东北风1-3级/东北风1-3级
2024-12-04,多云/多云,19.0,9.0,东北风1-3级/东北风1-3级
2024-12-05,阴/小雨,13.0,9.0,东北风1-3级/东北风1-3级
2024-12-06,阴/小雨,12.0,8.0,东北风1-3级/东北风1-3级
2024-12-07,小雨/阴,11.0,7.0,北风1-3级/北风1-3级
2024-12-08,多云/多云,12.0,6.0,东北风1-3级/东北风1-3级
2024-12-09,多云/多云,14.0,7.0,东北风1-3级/东北风1-3级
2024-12-10,阴/小雨,13.0,8.0,东北风1-3级/北风1-3级
2024-12-11,小雨/阴,8.0,5.0,北风1-3级/北风1-3级
2024-12-12,阴/阴,8.0,5.0,东北风1-3级/东北风1-3级
2024-12-13,多云/多云,11.0,2.0,东北风1-3级/东北风1-3级
2024-12-14,晴/晴,9.0,-1.0,东北风1-3级/东北风1-3级
2024-12-15,晴/晴,11.0,-1.0,东北风1-3级/东北风1-3级
2024-12-16,晴/晴,13.0,-1.0,东风1-3级/东风1-3级
2024-12-17,晴/晴,14.0,1.0,东北风1-3级/东北风1-3级
2024-12-18,晴/晴,13.0,-1.0,北风1-3级/北风1-3级
2024-12-19,晴/晴,9.0,-1.0,东北风1-3级/东北风1-3级
2024-12-20,晴/晴,11.0,-1.0,东北风1-3级/东北风1-3级
2024-12-21,晴/晴,12.0,0.0,东北风1-3级/东北风1-3级
2024-12-22,多云/多云,9.0,2.0,东北风1-3级/东北风1-3级
2024-12-23,阴/多云,9.0,2.0,东北风1-3级/东北风1-3级
2024-12-24,晴/多云,13.0,0.0,东北风1-3级/东北风1-3级
2024-12-25,多云/多云,14.0,5.0,东北风1-3级/东北风1-3级
2024-12-26,晴/阴,16.0,5.0,东北风1-3级/东北风1-3级
2024-12-27,多云/晴,11.0,3.0,东北风1-3级/东北风1-3级
2024-12-28,晴/晴,12.0,-2.0,东北风1-3级/东北风1-3级
2024-12-29,晴/晴,13.0,-2.0,东风1-3级/东北风1-3级
2024-12-30,晴/晴,16.0,4.0,北风1-3级/北风1-3级
2024-12-31,晴/晴,15.0,2.0,北风1-3级/东北风1-3级
